id,test,model,date,timestamp,agent,component,time
70,2,gpt-5.1,02/03/2026,7.890565395355225,Robot,6086771,8.3368
70,2,gpt-5.1,02/03/2026,16.227370977401733,Human,6086771,8.24821
70,2,gpt-5.1,02/03/2026,27.724905490875244,Recognition,6330459,2.57891
70,2,gpt-5.1,02/03/2026,30.304173231124878,Prediction,6330459,2.04557
70,2,gpt-5.1,02/03/2026,32.374613761901855,Robot,6330459,7.31608
70,2,gpt-5.1,02/03/2026,39.6907012462616,Human,6330459,10.29698
70,2,gpt-5.1,02/03/2026,53.24007964134216,Recognition,4610745,2.47515
70,2,gpt-5.1,02/03/2026,55.71554660797119,Prediction,4610745,2.10857
70,2,gpt-5.1,02/03/2026,57.858524799346924,Robot,4610745,7.96895
70,2,gpt-5.1,02/03/2026,65.82749009132385,Human,4610745,8.30338
70,2,gpt-5.1,02/03/2026,95.41922950744629,Recognition,6335178,2.17507
70,2,gpt-5.1,02/03/2026,97.59461331367493,Prediction,6335178,2.40415
70,2,gpt-5.1,02/03/2026,100.05421161651611,Robot,6335178,8.14099
70,2,gpt-5.1,02/03/2026,108.19520282745361,Human,6335178,4.88818
70,2,gpt-5.1,02/03/2026,116.32133960723877,Recognition,6335170,1.92602
70,2,gpt-5.1,02/03/2026,118.24744153022766,Prediction,6335170,2.59886
70,2,gpt-5.1,02/03/2026,120.9017174243927,Robot,6335170,8.4536
70,2,gpt-5.1,02/03/2026,129.35532426834106,Human,6335170,11.31979
70,2,gpt-5.1,02/03/2026,143.9506561756134,Recognition,4648231,1.90975
70,2,gpt-5.1,02/03/2026,145.86071372032166,Prediction,4648231,2.20266
70,2,gpt-5.1,02/03/2026,148.12460899353027,Robot,4648231,7.9662
70,2,gpt-5.1,02/03/2026,156.09081530570984,Human,4648231,6.55234
70,2,gpt-5.1,02/03/2026,165.90134286880493,Recognition,4648238,2.03456
70,2,gpt-5.1,02/03/2026,167.93614149093628,Prediction,4648238,2.16856
70,2,gpt-5.1,02/03/2026,170.16232705116272,Robot,4648238,7.66469
70,2,gpt-5.1,02/03/2026,177.82701683044434,Human,4648238,6.54377
70,2,gpt-5.1,02/03/2026,187.64716696739197,Recognition,6192849,1.73141
70,2,gpt-5.1,02/03/2026,189.37877416610718,Prediction,6192849,2.98719
70,2,gpt-5.1,02/03/2026,192.42595863342285,Robot,6192849,9.01742
70,2,gpt-5.1,02/03/2026,201.4433810710907,Human,6192849,8.98403
70,2,gpt-5.1,02/03/2026,227.04169392585754,Recognition,6086771,2.71232
70,2,gpt-5.1,02/03/2026,229.7540991306305,Prediction,6086771,2.1755
70,2,gpt-5.1,02/03/2026,231.95441365242004,Robot,6086771,7.87222
70,2,gpt-5.1,02/03/2026,239.8266408443451,Human,6086771,5.49732
70,2,gpt-5.1,02/03/2026,248.58692145347595,Recognition,6056475,3.95087
70,2,gpt-5.1,02/03/2026,252.53815245628357,Prediction,6056475,2.13915
70,2,gpt-5.1,02/03/2026,254.71805262565613,Robot,6056475,7.28475
70,2,gpt-5.1,02/03/2026,262.0028018951416,Human,6056475,11.99247
70,2,gpt-5.1,02/03/2026,277.2361943721771,Recognition,6286272,2.08709
70,2,gpt-5.1,02/03/2026,279.32356786727905,Prediction,6286272,2.72389
70,2,gpt-5.1,02/03/2026,282.0926465988159,Robot,6286272,7.60591
70,2,gpt-5.1,02/03/2026,289.69855856895447,Human,6286272,6.19321
70,2,gpt-5.1,02/03/2026,299.1641528606415,Recognition,6056492,2.25653
70,2,gpt-5.1,02/03/2026,301.4209978580475,Prediction,6056492,2.57139
70,2,gpt-5.1,02/03/2026,304.0318238735199,Robot,6056492,7.55508
70,2,gpt-5.1,02/03/2026,311.5869047641754,Human,6056492,3.889
70,2,gpt-5.1,02/03/2026,318.7323987483978,Recognition,6330455,2.04286
70,2,gpt-5.1,02/03/2026,320.77541399002075,Prediction,6330455,2.33967
70,2,gpt-5.1,02/03/2026,323.1437780857086,Robot,6330455,7.8673
70,2,gpt-5.1,02/03/2026,331.011075258255,Human,6330455,3.27206
70,2,gpt-5.1,02/03/2026,337.5570569038391,Recognition,6330456,2.27129
